CustomerID,CustomerName,ContactInfo,Address,FirstPurchaseDate
CUST0001,Shravya Dani,warda22@example.net,"001-A-120, PROJ001",2010-04-16
CUST0002,Vasudha Mangal,omaja49@example.org,"001-D-102, PROJ001",2010-04-18
CUST0003,Ekanta Keer,ekapad71@example.net,"001-D-117, PROJ001",2010-04-30
CUST0004,Aayush Nayak,amol14@example.net,"001-D-127, PROJ001",2010-04-30
CUST0005,Chandran Mishra,dbehl@example.org,"001-D-114, PROJ001",2010-06-02
CUST0006,Ekaraj Buch,vmemon@example.net,"001-B-123, PROJ001",2010-06-21
CUST0007,Zinal Gandhi,nilima57@example.com,"001-B-132, PROJ001",2010-06-25
CUST0008,Devansh Barad,shivanshmitra@example.com,"001-D-134, PROJ001",2010-07-17
CUST0009,Ridhi Samra,max78@example.org,"001-A-118, PROJ001",2010-07-19
CUST0010,Ridhi Parmer,apal@example.com,"001-B-134, PROJ001",2010-07-27
CUST0011,Waida Chanda,vaidyaakshay@example.net,"001-C-121, PROJ001",2010-08-02
CUST0012,Nitara Bal,ladli97@example.org,"001-B-112, PROJ001",2010-08-06
CUST0013,Damyanti Lad,tgera@example.net,"001-C-117, PROJ001",2010-08-12
CUST0014,Jyoti Chana,rpall@example.com,"001-C-126, PROJ001",2010-08-13
CUST0015,Ryan Contractor,zaitrasridhar@example.com,"001-D-136, PROJ001",2010-08-16
CUST0016,Radhika Mannan,kaulfrado@example.org,"001-B-127, PROJ001",2010-08-17
CUST0017,Baghyawati Date,gandhiaarnav@example.net,"001-A-105, PROJ001",2010-08-27
CUST0018,Rishi Bora,wridesh29@example.org,"001-B-111, PROJ001",2010-09-10
CUST0019,Qabil Hora,msood@example.net,"001-D-113, PROJ001",2010-09-13
CUST0020,Isha Dani,ksheth@example.org,"001-D-115, PROJ001",2010-09-17
CUST0021,Ayaan Mohanty,eshanabrahmbhatt@example.com,"001-B-102, PROJ001",2010-09-19
CUST0022,Matthew Mukherjee,bosemitesh@example.net,"001-C-118, PROJ001",2010-09-27
CUST0023,Suhani Sodhi,purohitnachiket@example.com,"001-A-116, PROJ001",2010-10-02
CUST0024,Ekapad Shanker,sai81@example.net,"001-B-118, PROJ001",2010-10-25
CUST0025,Sai Kala,andrewsastry@example.org,"001-C-106, PROJ001",2010-10-27
CUST0026,Yachana Mittal,qgour@example.org,"001-A-121, PROJ001",2010-10-28
CUST0027,Yug Kunda,msaha@example.net,"001-D-103, PROJ001",2010-10-30
CUST0028,Chakradev Aggarwal,tanveer85@example.org,"001-C-132, PROJ001",2010-11-07
CUST0029,Anika Mann,raghav10@example.org,"001-D-124, PROJ001",2010-11-16
CUST0030,Lohit Mohan,gchokshi@example.net,"001-A-101, PROJ001",2010-11-21
CUST0031,Harini Rege,fsaini@example.org,"001-A-127, PROJ001",2010-11-23
CUST0032,Darika Vaidya,ishwar84@example.com,"001-C-109, PROJ001",2010-11-24
CUST0033,Orinder Sani,ekaraj89@example.net,"001-A-114, PROJ001",2010-11-28
CUST0034,Ranbir Palla,bakhshighose@example.net,"001-B-107, PROJ001",2010-12-01
