CustomerID,CustomerName,ContactInfo,Address,FirstPurchaseDate
CUST0001,Pranit Bail,diptadin@example.com,"001-B-129, PROJ001",2010-04-16
CUST0002,Urishilla Wable,upasnagupta@example.com,"001-B-122, PROJ001",2010-04-21
CUST0003,Daksha Oak,agarwalfaqid@example.net,"001-B-114, PROJ001",2010-04-25
CUST0004,Rajeshri Sankar,geragunbir@example.com,"001-D-130, PROJ001",2010-04-28
CUST0005,Hiral Palla,jhaveridaksh@example.org,"001-B-109, PROJ001",2010-05-08
CUST0006,Faqid Krish,kashish98@example.org,"001-B-132, PROJ001",2010-05-17
CUST0007,Ijaya Mohan,bpalan@example.com,"001-C-125, PROJ001",2010-05-23
CUST0008,Ekta Dyal,warhi64@example.org,"001-D-118, PROJ001",2010-05-30
CUST0009,Lohit Maharaj,amritaraju@example.net,"001-C-113, PROJ001",2010-06-15
CUST0010,Anya Sood,gkhosla@example.com,"001-C-136, PROJ001",2010-07-01
CUST0011,Yug Agrawal,vincent13@example.com,"001-C-124, PROJ001",2010-07-11
CUST0012,Yash Raghavan,keya67@example.org,"001-A-132, PROJ001",2010-08-17
CUST0013,Sarthak Oak,prisha08@example.net,"001-D-109, PROJ001",2010-09-02
CUST0014,Yuvraj Sharma,munshifaris@example.net,"001-A-137, PROJ001",2010-09-21
CUST0015,Triveni Baral,ekarpe@example.com,"001-D-115, PROJ001",2010-09-27
CUST0016,Elijah Jha,tristan13@example.org,"001-C-121, PROJ001",2010-10-03
CUST0017,Nimrat Sarin,gpanchal@example.org,"001-C-116, PROJ001",2010-10-21
CUST0018,Gunbir Dora,charan59@example.net,"001-D-123, PROJ001",2010-11-06
CUST0019,Vincent Mall,dhritidani@example.net,"001-D-112, PROJ001",2010-12-03
CUST0020,Isaiah Pillay,ndube@example.org,"001-B-135, PROJ001",2010-12-07
CUST0021,Turvi Trivedi,abeer94@example.org,"001-D-101, PROJ001",2010-12-11
CUST0022,Yashoda Kala,jkade@example.net,"001-D-116, PROJ001",2010-12-17
CUST0023,Nandini Narula,manthannayak@example.net,"001-D-111, PROJ001",2011-01-03
CUST0024,Deepa Agarwal,gaurichacko@example.net,"001-D-119, PROJ001",2011-01-19
CUST0025,Omya Panchal,utkarsh03@example.net,"001-C-112, PROJ001",2011-02-09
CUST0026,Chasmum Rajagopalan,atwalradha@example.org,"001-C-101, PROJ001",2011-02-22
CUST0027,Abha Mannan,upadhriti53@example.com,"001-A-138, PROJ001",2011-02-26
CUST0028,Qasim Krish,voravihaan@example.net,"001-D-137, PROJ001",2011-03-17
CUST0029,Adya Viswanathan,pdhillon@example.net,"001-C-137, PROJ001",2011-03-19
CUST0030,Charita Chaudhuri,kgill@example.org,"001-D-135, PROJ001",2011-03-21
CUST0031,Tanvi Rama,ganesansaumya@example.net,"001-B-134, PROJ001",2011-04-01
CUST0032,Ikshita Dalal,fmorar@example.com,"001-B-103, PROJ001",2011-04-01
CUST0033,Yoshita Behl,ekbalrajagopal@example.net,"001-B-116, PROJ001",2011-04-02
CUST0034,Arya Shere,jhalakjhaveri@example.org,"001-B-130, PROJ001",2011-04-07
CUST0035,Jagrati Oak,pandeyshivansh@example.org,"001-C-106, PROJ001",2011-04-08
CUST0036,Wishi Mishra,brindavenkataraman@example.com,"001-A-114, PROJ001",2011-04-17
CUST0037,Prisha Patla,zarnakakar@example.com,"001-B-102, PROJ001",2011-04-24
CUST0038,Harsh Balasubramanian,anyaagate@example.com,"001-A-113, PROJ001",2011-05-05
CUST0039,Nilima Sheth,nisha70@example.net,"001-A-119, PROJ001",2011-05-21
CUST0040,Damini Agarwal,raghav74@example.com,"001-C-130, PROJ001",2011-05-29
CUST0041,Irya Som,fmishra@example.com,"001-B-138, PROJ001",2011-06-01
CUST0042,Luke Jani,munshiimaran@example.org,"001-B-124, PROJ001",2011-06-11
CUST0043,Sarthak Varkey,hemang78@example.net,"001-A-106, PROJ001",2011-06-11
CUST0044,Isha Dixit,banjeetrajagopal@example.com,"001-A-129, PROJ001",2011-06-16
CUST0045,Ekapad Kade,mugdhatailor@example.net,"001-A-131, PROJ001",2011-07-11
CUST0046,Jhalak Mitter,ayush98@example.com,"001-B-108, PROJ001",2011-07-13
CUST0047,Oscar Dewan,guhagaurang@example.net,"001-A-118, PROJ001",2011-07-21
CUST0048,Falan Bhardwaj,rudraagate@example.org,"002-D-119, PROJ002",2011-07-21
CUST0049,Gopal Taneja,alka84@example.org,"002-A-102, PROJ002",2011-07-24
CUST0050,Rudra Suresh,ganga59@example.net,"002-D-118, PROJ002",2011-08-09
CUST0051,Oeshi Sur,hwali@example.org,"002-B-110, PROJ002",2011-08-09
CUST0052,Orinder Konda,sainivamakshi@example.net,"002-C-124, PROJ002",2011-09-01
CUST0053,Sarthak Ahuja,takindrajit@example.net,"001-C-107, PROJ001",2011-09-02
CUST0054,Advika Mand,darpan54@example.net,"001-A-123, PROJ001",2011-09-13
CUST0055,Oliver Badami,oliver04@example.com,"002-C-113, PROJ002",2011-09-18
CUST0056,Caleb Mukherjee,shari@example.net,"002-A-120, PROJ002",2011-09-27
CUST0057,Advika Kari,cheemawarjas@example.net,"002-B-112, PROJ002",2011-10-08
CUST0058,Balendra Biswas,merchantveda@example.net,"002-D-115, PROJ002",2011-10-08
CUST0059,Libni Dada,naveensarraf@example.org,"001-B-131, PROJ001",2011-10-10
CUST0060,Veda Aggarwal,echacko@example.net,"001-D-136, PROJ001",2011-10-16
CUST0061,Sanya Comar,peter84@example.net,"002-C-119, PROJ002",2011-10-17
CUST0062,Hiral Goyal,leena50@example.org,"001-B-112, PROJ001",2011-10-24
CUST0063,Tarak Minhas,triyajayaraman@example.net,"002-D-117, PROJ002",2011-11-05
CUST0064,Yauvani Hans,saneanvi@example.net,"001-D-120, PROJ001",2011-11-07
CUST0065,Vedant Raj,ogrover@example.com,"001-B-128, PROJ001",2011-11-09
CUST0066,Vedant Shenoy,tarak23@example.org,"002-A-115, PROJ002",2011-11-09
CUST0067,Aahana Rama,lakshmi11@example.com,"002-C-108, PROJ002",2011-11-12
CUST0068,Gaurang Doshi,bobaladya@example.com,"001-B-105, PROJ001",2011-11-23
CUST0069,Thomas Ramakrishnan,janyamander@example.com,"002-A-105, PROJ002",2011-11-24
CUST0070,Harinakshi Shan,basuaryan@example.org,"002-B-102, PROJ002",2011-11-27
CUST0071,Karan Comar,udivan@example.org,"002-A-106, PROJ002",2011-11-28
CUST0072,Vihaan Mangat,osetty@example.net,"002-B-114, PROJ002",2011-12-12
CUST0073,George Agrawal,ysengupta@example.com,"002-D-126, PROJ002",2011-12-13
CUST0074,Zilmil Mallick,banikurishilla@example.org,"002-B-124, PROJ002",2011-12-18
CUST0075,Deepa Sharma,idika26@example.net,"002-D-109, PROJ002",2011-12-18
CUST0076,Azad Apte,sarthakbhasin@example.com,"001-B-136, PROJ001",2011-12-22
CUST0077,Yatin Issac,vivaanbhandari@example.com,"002-D-111, PROJ002",2011-12-30
CUST0078,Oni Padmanabhan,madhavsood@example.com,"002-B-107, PROJ002",2012-01-08
CUST0079,Timothy Virk,ubikakonda@example.org,"002-A-108, PROJ002",2012-01-14
CUST0080,Arya Kumer,shavarsha@example.net,"001-C-131, PROJ001",2012-01-17
CUST0081,Ishani Bhat,alka19@example.org,"001-C-119, PROJ001",2012-01-24
CUST0082,Gayathri Dugal,omdavid@example.org,"002-A-107, PROJ002",2012-01-29
CUST0083,Lucky Bhatnagar,aarush84@example.org,"001-A-136, PROJ001",2012-01-30
